APP1,Meat Plate / full Plate - Round New,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,149,,,,
APP2,Dessert Plate / Half Plate,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,70,,,,
APP3,B & B / Quarter Plate / Underliner,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,110,,,,
APP4,Tea Saucer,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,140,,,,
APP5,Tea Cup,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,70,,,,
APP6,Bowl for Dal / Katori,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,69,,,,
APP7,Soup Bowl / Cup,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,125,,,,
APP8,Cereal Bowl,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,81,,,,
APP9,Pasta Plate,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,26,,,,
APP10,Service bowl - 1 Por.,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,22,,,,
APP11,Service Bowl - 2 Por.,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,26,,,,
APP12,Sugar pot,Crockery  White ,Crockery  White ,nos,nos,,,,,,,,,,,,,5,,,,
APP13,Meat Plate / full Plate - old octagonal,Octagonal Design  Old Crockery,Octagonal Design  Old Crockery,nos,nos,,,,,,,,,,,,,0,,,,
APP14,Dessert Plate / Half Plate - old Octagonal,Octagonal Design  Old Crockery,Octagonal Design  Old Crockery,nos,nos,,,,,,,,,,,,,35,,,,
APP15,B & B / Quarter Plate Old Octagonal,Octagonal Design  Old Crockery,Octagonal Design  Old Crockery,nos,nos,,,,,,,,,,,,,50,,,,
APP16,Coffee Mug for Rooms,Octagonal Design  Old Crockery,Octagonal Design  Old Crockery,nos,nos,,,,,,,,,,,,,25,,,,
APP17,Tea Cup,Octagonal Design  Old Crockery,Octagonal Design  Old Crockery,nos,nos,,,,,,,,,,,,,5,,,,
APP18,Tea Saucer,Octagonal Design  Old Crockery,Octagonal Design  Old Crockery,nos,nos,,,,,,,,,,,,,90,,,,
APP19,Hi Ball,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,324,,,,
APP20,Tom Collin,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP21,Juice Glass,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,40,,,,
APP22,Rolly Polly,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,4,,,,
APP23,Pilsner,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,8,,,,
APP24,Old Faishion - Assorted,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP25,Tall Glass collin Type for Mock/Cocktail etc.,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,11,,,,
APP26,Glass Water Jug,Glass Ware  Ocean,Ocean,nos,nos,,,,,,,,,,,,,10,,,,
APP27,Water Goblet,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,12,,,,
APP28,Beer Goblet mug,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,36,,,,
APP29,White Wine - 12,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,13,,,,
APP30,Red Wine - 12,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,13,,,,
APP31,Champagne,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,5,,,,
APP32,Brandy Baloon,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP33,Sherry,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP34,Margrita / Cocktail,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP35,Fancy Tall Glass for Cocktail / mocktail etc.,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP36,Assorted Glass Platter for Fruits or Dessert,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP37,Assorted Glass Bowl for Salad,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP38,Assorted small glass / Bowl for dessert,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP39,taqila shot,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,10,,,,
APP40,whiskey glass,Stem Glass,Ocean,nos,nos,,,,,,,,,,,,,54,,,,
APP41,Water Goblet - Local,Local,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP42,Juice glass local - Good for Cafeteria,Local,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP43,Assorted Hi-ball type,Local,Ocean,nos,nos,,,,,,,,,,,,,0,,,,
APP44,A.P. Knife,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,64,,,,
APP45,A.P. Fork,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,90,,,,
APP46,A.P. Spoon,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,104,,,,
APP47,Soup Spoon,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,90,,,,
APP48,Tea Spoon,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,50,,,,
APP49,Servive spoon,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,90,,,,
APP50,Service Fork,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,10,,,,
APP51,Buffet Ladle - assorted,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP52,Butter knife,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP53,Bread Tong,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,4,,,,
APP54,Pastry Tong,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP55,Spatula,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP56,Ice Tong,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,3,,,,
APP57,Sugar Tong,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,5,,,,
APP58,Ice Cream scoop,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,2,,,,
APP59,Tea Pot,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP60,Coffee Pot,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP61,Creamer / Milk pot,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP62,Butter Pad / Dish with cover S.S.,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,4,,,,
APP63,Bread Basket,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,6,,,,
APP64,Cruet Set - Pair,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,33,,,,
APP65,Bud Vase,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP66,Food Cover,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP67,Thali S.S.,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP68,Katori S.S.,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP69,Finger Bowl,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,12,,,,
APP70,Service Dish with cover S.S. - 1 Por,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP71,Service Dish with cover S.S. - 2 Por,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP72,Service Dish with cover S.S. - 3 Por,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP73,Platter S.S. - 1 Por,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,3,,,,
APP74,Platter S.S. - 2 Por,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,41,,,,
APP75,Platter S.S. - 3 Por,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,4,,,,
APP76,Ice Bucket S.S.,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,4,,,,
APP77,Wine Chiller,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,2,,,,
APP78,Toaster - 4 pcs,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,1,,,,
APP79,Chaffing Dish,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,11,,,,
APP80,Induction,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,10,,,,
APP81,Salver ( Round Fibre tray ),Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,2,,,,
APP82,"S.S. Tray Large ( 20 x 12"" )",Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,8,,,,
APP83,"S.S. Tray Large ( 15 x 12"" )",Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,8,,,,
APP84,Flask 1 ltr.,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,12,,,,
APP85,Flask 600 ml.,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP86,Ice Box Cellow 20ltr,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,17,,,,
APP87,Ice Box Cellow 12ltr,Hollow ware,Hollow ware,nos,nos,,,,,,,,,,,,,0,,,,
APP88,Thali,local Stainless Steel,local Stainless Steel,nos,nos,,,,,,,,,,,,,0,,,,
APP89,katori - Dal - local,local Stainless Steel,local Stainless Steel,nos,nos,,,,,,,,,,,,,28,,,,
APP90,Chutney katori - Local,local Stainless Steel,local Stainless Steel,nos,nos,,,,,,,,,,,,,85,,,,
APP91,Finger Bowl ( katori),local Stainless Steel,local Stainless Steel,nos,nos,,,,,,,,,,,,,27,,,,
