1,CAFÉ FRAPPE,CAFÉ,FRAPPE,Glass,Glass,185,10
2,CARAMEL FRAPPE,CAFÉ,FRAPPE,Glass,Glass,215,10
3,HAZELNUT FRAPPE,CAFÉ,FRAPPE,Glass,Glass,215,10
4,NUTELLA FRAPPE,CAFÉ,FRAPPE,Glass,Glass,215,10
5,MINT/MASALA MOJITO,CAFÉ,MOCTAILS,Glass,Glass,185,10
6,WATERMELON MOJITO,CAFÉ,MOCTAILS,Glass,Glass,185,10
7,KIWI MOJITO,CAFÉ,MOCTAILS,Glass,Glass,185,10
8,STRAWBERRY MOJITO,CAFÉ,MOCTAILS,Glass,Glass,185,10
9,KIWI COOLER,CAFÉ,MOCTAILS,Glass,Glass,185,10
10,MINT COOLER,CAFÉ,MOCTAILS,Glass,Glass,185,10
11,BLACK CURRANT COOLER,CAFÉ,MOCTAILS,Glass,Glass,185,10
12,BLUE LAGOON,CAFÉ,MOCTAILS,Glass,Glass,185,10
13,FRUIT PUNCH,CAFÉ,MOCTAILS,Glass,Glass,185,10
14,VANILA SHAKE,CAFÉ,SHAKES,Glass,Glass,185,10
15,BLACK CURRANT SHAKE,CAFÉ,SHAKES,Glass,Glass,215,10
16,STRAWBERRY SHAKE,CAFÉ,SHAKES,Glass,Glass,215,10
17,BANANA SHAKE,CAFÉ,SHAKES,Glass,Glass,215,10
18,CHOCOLATE SHAKE,CAFÉ,SHAKES,Glass,Glass,215,10
19,OREO SHAKE,CAFÉ,SHAKES,Glass,Glass,245,10
20,NUTTELA SHAKE,CAFÉ,SHAKES,Glass,Glass,285,10
21,FERRERO ROACHER SHAKE,CAFÉ,SHAKES,Glass,Glass,285,10
22,ORANGE JUICE,CAFÉ,JUICE,Glass,Glass,185,10
23,WATERMELON JUICE,CAFÉ,JUICE,Glass,Glass,185,10
24,PINEAPPLE JUICE,CAFÉ,JUICE,Glass,Glass,185,10
25,MIX FRUIT JUICE,CAFÉ,JUICE,Glass,Glass,185,10
26,PACKED DRINKINGWATER,CAFÉ,REGULAR DRINKS,Glass,Glass,60,10
27,SOFT DRINK CAN,CAFÉ,REGULAR DRINKS,Glass,Glass,95,10
28,SODA,CAFÉ,REGULAR DRINKS,Glass,Glass,95,10
29,FRESH LIME SODA,CAFÉ,REGULAR DRINKS,Glass,Glass,115,10
30,RED BULL,CAFÉ,REGULAR DRINKS,Glass,Glass,245,10
31,ESPRESSO,CAFÉ,HOT BLACK COFFEE,Glass,Glass,155,10
32,LONG BLACK AMERICANO,CAFÉ,HOT BLACK COFFEE,Glass,Glass,175,10
33,CLASSIC CAPPUCCINO,CAFÉ,CAPPUCCINO,Glass,Glass,185,10
34,CINNAMON CAPPUCCINO,CAFÉ,CAPPUCCINO,Glass,Glass,215,10
35,NUTTELLA CAPPUCCINO,CAFÉ,CAPPUCCINO,Glass,Glass,245,10
36,HAZELNUT CAPPUCCINO,CAFÉ,CAPPUCCINO,Glass,Glass,215,10
37,CARAMEL CAPPUCCINO,CAFÉ,CAPPUCCINO,Glass,Glass,215,10
38,CLASSIC HOT CHOCOLATE,CAFÉ,HOT CHOCOLATE,Glass,Glass,185,10
39,CARAMEL HOT CHOCOLATE,CAFÉ,HOT CHOCOLATE,Glass,Glass,215,10
40,NUTELLA HOT CHOCOLATE,CAFÉ,HOT CHOCOLATE,Glass,Glass,245,10
41,FERRERO ROCHER HOT CHOCOLATE,CAFÉ,HOT CHOCOLATE,Glass,Glass,245,10
42,REGULAR TEA/MASALA TEA,CAFÉ,HOT TEA,Glass,Glass,90,10
43,GINGER TEA/CARDAMOM TEA,CAFÉ,HOT TEA,Glass,Glass,90,10
44,LEMON TEA,CAFÉ,HOT TEA,Glass,Glass,90,10
45,GREEN TEA,CAFÉ,HOT TEA,Glass,Glass,90,10
46,BLACK TEA,CAFÉ,HOT TEA,Glass,Glass,90,10
47,LEMON MINT ICED TEA,CAFÉ,ICED TEA,Glass,Glass,185,10
48,WATERMELON ICED TEA,CAFÉ,ICED TEA,Glass,Glass,185,10
49,STRAWBERRY ICED TEA,CAFÉ,ICED TEA,Glass,Glass,185,10
50,PEACH ICED TEA,CAFÉ,ICED TEA,Glass,Glass,185,10
51,ICED AMERICANO            ,CAFÉ,ICED COFFEE,Glass,Glass,155,10
52,IRISH ESPRESSO ON THE ROCKS,CAFÉ,ICED COFFEE,Glass,Glass,185,10
53,ICED  COFFEE,CAFÉ,ICED COFFEE,Glass,Glass,185,10
54,CARAMEL ICED COFFEE,CAFÉ,ICED COFFEE,Glass,Glass,215,10
55,HAZELNUT ICED COFFEE,CAFÉ,ICED COFFEE,Glass,Glass,215,10
57,CREAM OF TOMATO SOUP,KITCHEN,SOUP,Bowl,Bowl,300,10
58,HOT N SOUR SOUP,KITCHEN,SOUP,Bowl,Bowl,300,10
59,MANCHOW SOUP,KITCHEN,SOUP,Bowl,Bowl,300,10
60,VEGETABLE CLEAR SOUP,KITCHEN,SOUP,Bowl,Bowl,300,10
61,SWEET CORN SOUP,KITCHEN,SOUP,Bowl,Bowl,300,10
62,CHICKEN HOT N SOUR SOUP,KITCHEN,SOUP,Bowl,Bowl,400,10
63,CHICKEN MANCHOW SOUP,KITCHEN,SOUP,Bowl,Bowl,400,10
64,CHICKEN CLEAR SOUP,KITCHEN,SOUP,Bowl,Bowl,400,10
65,CHICKEN SWEET CORN SOUP,KITCHEN,SOUP,Bowl,Bowl,400,10
66,PEANUT MASALA,KITCHEN,TITBITS,Plate,Plate,300,10
67,FRENCH FRIES,KITCHEN,TITBITS,Plate,Plate,300,10
68,MASALA PAPAD,KITCHEN,TITBITS,Nos,Nos,300,10
69,CHEESE CORN TOAST,KITCHEN,TITBITS,Nos,Nos,300,10
70,GARLIC BREAD,KITCHEN,TITBITS,Nos,Nos,300,10
71,EGG TO ORDER,KITCHEN,TITBITS,Nos,Nos,300,10
72,PAKORA WITH CHUTNEY,KITCHEN,SNACKS,Nos,Nos,400,10
73,SPRING ROLL,KITCHEN,SNACKS,Nos,Nos,400,10
74,CIGAR ROLL,KITCHEN,SNACKS,Nos,Nos,400,10
75,VEG SANDWICH,KITCHEN,SNACKS,Nos,Nos,400,10
76,CHILLY PANEER,KITCHEN,SNACKS,Nos,Nos,400,10
77,HARA BHARA KEBAB,KITCHEN,SNACKS,Nos,Nos,400,10
78,CORN KEBAB,KITCHEN,SNACKS,Nos,Nos,400,10
79,HONEY CHILLY POTATOES,KITCHEN,SNACKS,Nos,Nos,400,10
80,CHICKEN SANDWICH,KITCHEN,SNACKS,Nos,Nos,500,10
81,CHILLY CHICKEN,KITCHEN,SNACKS,Plate,Plate,500,10
82,FRIED CHICKEN,KITCHEN,SNACKS,Plate,Plate,500,10
83, STUFFED ALOO,KITCHEN,SMALL PLATES,Plate,Plate,400,10
84,MASALA GOBHI,KITCHEN,SMALL PLATES,Plate,Plate,400,10
85,SPICY MUSHROOM,KITCHEN,SMALL PLATES,Plate,Plate,400,10
86,PANEER TIKKA,KITCHEN,SMALL PLATES,Plate,Plate,400,10
87,LEHSUNI CHICKEN TIKKA,KITCHEN,SMALL PLATES,Plate,Plate,500,10
88,CHICKEN MALAI TIKKA,KITCHEN,SMALL PLATES,Plate,Plate,500,10
89,AFGANI CHICKEN,KITCHEN,SMALL PLATES,Plate,Plate,500,10
90,CHICKEN SEEKH KABAB,KITCHEN,SMALL PLATES,Plate,Plate,500,10
91,TANDOORI CHICKEN,KITCHEN,SMALL PLATES,Plate,Plate,500,10
92,PASTA IN YOUR CHOICE( ARRABBIATA/ALFREDO/PINK CITY SPECIAL),KITCHEN,MAINS,Plate,Plate,450,10
93,"PIZZA (MARGHERITA/OTC/TANDOORI PANEER,EXOTIC VEGGIE)",KITCHEN,MAINS,Plate,Plate,450,10
94,RED THAI CURRY AND STEAMED RICE,KITCHEN,MAINS,Plate,Plate,450,10
95,HAKKA NOODLES,KITCHEN,MAINS,Plate,Plate,450,10
96,FRIED RICE,KITCHEN,MAINS,Plate,Plate,450,10
97,MANCHURIAN,KITCHEN,MAINS,Plate,Plate,450,10
98,PALAK PANEER,KITCHEN,BIG PLATES,Plate,Plate,450,10
99,PANEER BUTTER MASALA,KITCHEN,BIG PLATES,Plate,Plate,450,10
100,SHAHI PANEER,KITCHEN,BIG PLATES,Plate,Plate,450,10
101,KADAI PANEER,KITCHEN,BIG PLATES,Plate,Plate,450,10
102,PANEER LABABADAR,KITCHEN,BIG PLATES,Plate,Plate,450,10
103,PANEER DOLMA,KITCHEN,BIG PLATES,Plate,Plate,450,10
104,JEERA ALOO,KITCHEN,BIG PLATES,Plate,Plate,450,10
105,MIX VEGETABLE,KITCHEN,BIG PLATES,Plate,Plate,450,10
106,MATAR MUSHROOM,KITCHEN,BIG PLATES,Plate,Plate,450,10
107,METHI MALAI MATAR,KITCHEN,BIG PLATES,Plate,Plate,450,10
108,CORN PALAK,KITCHEN,BIG PLATES,Plate,Plate,450,10
109,CHOICE OF KOFTA,KITCHEN,BIG PLATES,Plate,Plate,450,10
110,SEASONAL VEGETABLE,KITCHEN,BIG PLATES,Plate,Plate,450,10
111,EGG CURRY,KITCHEN,BIG PLATES,Plate,Plate,450,10
112,BUTTER CHICKEN,KITCHEN,BIG PLATES,Plate,Plate,750,10
113,CHICKEN KALI MIRCH,KITCHEN,BIG PLATES,Plate,Plate,750,10
114,CHICKEN CURRY,KITCHEN,BIG PLATES,Plate,Plate,750,10
115,CHICKEN SAAGWALA,KITCHEN,BIG PLATES,Plate,Plate,750,10
116,MUTTON ROGANJOSH,KITCHEN,BIG PLATES,Plate,Plate,750,10
117,MUTTON SAAGWALA,KITCHEN,BIG PLATES,Plate,Plate,750,10
118,GATTA PREPARATION (CURRY/MASALA/ROGANJOSH),KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
119,ALOO DO PYAZA,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
120,PANEER DO PYAZA,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
121,PANEER JAIPURI,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
122,SEV TAMATAR,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
123,PAKORI KI KADHI,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
124,MANGORI PAPAD KI SABJI,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,450,10
125,HANDI CHICKEN,KITCHEN,RAJASTHANI SPECIAL,Plate,Plate,750,10
