1,Six Fields Beer,M/S HS OBEROI,Alcohol,Alcohol,Kegg,Kegg,,,,
2,Chicken Katsu Curry,Vikram Kapur,Alcohol,Alcohol,btl,btl,,,,
3,M.M Vodkaa,Vikram Kapur,Alcohol,Alcohol,btl,btl,,,,
4,Sula Sauv.Blanc,Vikram Kapur,Alcohol,Alcohol,btl,btl,,,,
5,Budweiser Beer,Abinbev,Alcohol,Alcohol,Kegg,Kegg,,,,
6,Avocado,Fresh2all,Beverage,Beverage,can,can,25,6,,6
7,Mango Juice,Shree Jagan Nath,Beverage,Beverage,case,case,,,,
8,Orange Juice,Shree Jagan Nath,Beverage,Beverage,case,case,,,,
9,Apple Juice,Shree Jagan Nath,Beverage,Beverage,case,case,,,,
10,Soda,Shree Jagan Nath,Beverage,Beverage,case,case,,,,
