HK 1,STEEL SCRUBER,,HOUSEKEEPING,Cleaning,PKT,Pcs,1
HK 2,GREEN PAD SCRUBER,,HOUSEKEEPING,Cleaning,PKT,Pcs,1
HK 3,POCHA BIG,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 4,DUSTER,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 5,PHOOL JHADU BROOM,,HOUSEKEEPING,Cleaning,pcs,pcs,1
HK 6,SINK JHADU ,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 7,WIPER,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 8,MILK PAUCH,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 9,NES COFE 200gm,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 10,TEA BAG,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 11,GARBAGE BAGS BIG,,HOUSEKEEPING,Cleaning,PKT,PKT,1
HK 12,GARBAGE ,,HOUSEKEEPING,Cleaning,Btl,Btl,1
HK 13,SURFEXCEL SAVAN,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 14,SURFEXCEL WASH POWDER,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 15,REVIVE,,HOUSEKEEPING,Cleaning,Btl,Btl,1
HK 16,SADA SAVAN,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 17,LAUNDRY BRUSH,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 18,WASHING POWDER BARTAN,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 19,BARTAN BAR SABAN,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 20,COCO POWDER,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 29,BROWN PAPER,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 30,COTTON,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 31,COTTON BATYE,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 32,LOCK,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 33,REGISTER,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 34,PAN,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 35,KAPOOR KI GOLI NAPHTHALENE,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 36,PHENYLE,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 37,LIZOL,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 38,HARPIC,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 39,LAL HARPIC,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 40,HAIR OIL,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 41,ROOM FRESHA,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 42,EEAR BIRD,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 43,ODONIL AIR FRESH,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 44,COMB KANGI,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 45,MARKIN KAPDA,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 46,SHAVING KIT,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 47,LAUNDRY BAG,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 48,CONDITIONAR,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 49,HAIR DRYER,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 50, CLAX ULTRA,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 51,CLAX xtra soft,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 52,CLAX 200,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 53,CLAX HYPO,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 54,BUKET TRANSPARENT,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 55,CLAX XTRA,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 56,FACE TISSUE,,HOUSEKEEPING,Cleaning,PKT,PKT,1
HK 57,TASKI R-1,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 58,TASKI R-2,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 59,TASKI R-3,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 60,TASKI R-4,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 61,TASKI R-5,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 62,TASKI R-6,,HOUSEKEEPING,Cleaning,nos,nos,1
HK 63,DENTAL KIT,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 64,COOTAN BALL,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 65,ELECTRIC KETTLE,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 66,SHOWER CAP,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 67,SHOWER GEL 35gm,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 68,SHAMPOO35ML,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 69,SOAP GLYSIREN 25GM,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 70,SLIPPER ,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 71,FLOOR PAD,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 72,CARPET BRUSH,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 73,TOILET ROLL,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 74,MOISTURISER,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 75,ALLOUT REPEL,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 76,ALLOUT MASKITO COILS,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 77,ALLOUT MASEEN,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 78,CLORINE TCCA,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 79,EZEE,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 80,DETTOL HANDWASH ,,HOUSEKEEPING,Cleaning,PKT,PKT,1
HK 81,DETTOL HANDWASH 200 ML,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 82,DETTOL LIQUID,,HOUSEKEEPING,Cleaning,Pcs,Pcs,1
HK 83,BLACK HIT,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 84,RED HIT,,HOUSEKEEPING,Cleaning,Pcs,Pcs,1
HK 85,W.C. BRUSH,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 86,SPRAY BOTTLE,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 87,BOTTLE BURSH,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 88,COLOUR  BURSH,,HOUSEKEEPING,Cleaning,KG,gram,1000
HK 89,ACID BOTL,,HOUSEKEEPING,Cleaning,btl,pcs,1
HK 90,RIM A4,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 91,PENCIL,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 92,WRITING PAD,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 93,LOG BOOK,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 94,CARTIDGE ,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 95,REFIL,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 96,BOX FILE,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
HK 97,MOOVE SPRAY,,HOUSEKEEPING,Cleaning,pcs,Pcs,1
