Item Code,Item,Item Type,Item Group Main,Item sub Group,Item Main Unit
B1,SODA ,soda,639,812,LTR
B2,WATER 01 LTR ( LARGE ),water,639,812,LTR
B3,WATER 500 ML ( MEDIUM ),water,639,812,LTR
B4,WATER 200 ML ( SMALL),water,639,812,LTR
B5,COKE 200 ml,soda,639,812,LTR
B6,SPRITE /ORANGE 200 ml,soda,639,812,LTR
B7,MIXED FRUIT JUICE200 ml  TETRA PACK,juices,639,813,LTR
B8,ORANGE JUICE  200 ml TETRA PACK,juices,639,813,LTR
B9,APPLE JUICE 01 200 ml TETRA PACK ,juices,639,813,LTR
B10,GUAVA JUICE  01 LTR PACK,juices,639,813,LTR
B11,MIXED FRUIT JUICE 01 LTR TETRA PACK,juices,639,813,LTR
B12,ORANGE JUICE  01 LTR TETRA PACK,juices,639,813,LTR
B13,APPLE JUICE 01 LTR TETRA PACK ,juices,639,813,LTR
B14,NESTEA LEMON ICE TEA ,juices,639,813,KG
B15,NESTEA ICE TEA REGULAR ,juices,639,813,KG
FS1,COFFEE BEANS ,packet ,639,664,KG
FS2,TISSUE PAPER NAPKIN,Service Accessories ,639,664,BOX
FS3,AGARBATTI,Service Accessories ,639,664,box
FS4,MOMBATTI/WAX CANDLES,Service Accessories ,639,664,PIECES
FS5,MATCH BOX ,Service Accessories ,639,664,PIECES
FS7,TISSUE PAPER BBQ /Service,Service Accessories ,639,664,PIECES
FS8,TOOTHPICKS,Service Accessories ,639,664,BOX
FS9,STRAW WOODEN,Service Accessories ,639,664,PIECES
FS10,PACKING BOX ,Packing Material,639,664,PIECES
FS11,CURRY BOWL,Packing Material,639,664,PIECES
FS12,CHUTNEY BOWL,Packing Material,639,664,PIECES
FS13,PAPER PLATE ,Packing Material,639,664,PIECES
FS14,WOODEN FORK,Packing Material,639,664,PIECES
FS15,WOODEN SPOON ,Packing Material,639,664,PIECES
FS16,SILVER FOIL,Packing Material,639,664,PIECES
GS24,PEN / PENCIL,HK Guest Supply,815,813,PIECES
GS25,LETTERHEADS ,HK Guest Supply,815,814,PIECES
GS26,ENVELOPE,HK Guest Supply,815,814,PIECES
GS27,HAND SANITIZER ,HK Guest Supply,815,813,PIECES
HK1,DISHSOAP,Kitchen CLNG  Supply,602,813,KG
HK2,DETERGENT POWDER,Kitchen CLNG  Supply,602,813,KG
HK3,JUNA SCOTCH BRITE ,Kitchen CLNG  Supply,602,813,PIECES
HK4,JUNA STEEL SCRUB ,Kitchen CLNG  Supply,602,813,PIECES
HK5,JUNA SPONGE SCRUB,Kitchen CLNG  Supply,602,813,PIECES
HK6,SEENK JHADU/BROOMSTICK,Kitchen CLNG  Supply,602,816,PIECES
HK7,PHOOL JHADU/SOFT BROOM,Kitchen CLNG  Supply,602,816,PIECES
HK8,LONG OUTDOOR BROOM,Kitchen CLNG  Supply,602,816,PIECES
HK9,JALA STICK /COBBWEB STICK,Kitchen CLNG  Supply,602,816,PIECES
HK10,ROOM SPRAY,HK Cleaning SUPPLY,602,816,PIECES
HK11,GARBAGE BAG 24/30,Kitchen CLNG  Supply,602,816,PIECES
HK12,GARBAGE BAG 17/23,HK Cleaning SUPPLY,602,816,PIECES
HK13,GARBAGE BAG 20/26,HK Cleaning SUPPLY,602,816,PIECES
HK14,ALL OUT SOCKETS ,HK Cleaning SUPPLY,602,816,PIECES
HK15,ALL OUT REFILLS ,HK Cleaning SUPPLY,602,816,PIECES
HK16,FLOOR MOPS,HK Cleaning SUPPLY,602,816,PIECES
HK17,DUSTING MOPS COTTON,HK Cleaning SUPPLY,602,816,PIECES
HK18,FIBER CLOTH DUSTERS ,HK Cleaning SUPPLY,602,816,PIECES
HK19,DETERGENT POWDER,HK Cleaning SUPPLY,602,813,KG 
HK20,GAS LIGHTER SMALL KITCHEN,Kitchen CLNG  Supply,602,814,PIECES
HK21,GAS LIGHTER LONG KITCHEN,Kitchen CLNG  Supply,602,814,PIECES
HK22,NAPHTHALENE BALL,HK Cleaning SUPPLY,602,813,KG
HK23,TOILET BRUSH,HK Cleaning SUPPLY,602,814,PIECES
HK24,FLOOR WIPER,HK Cleaning SUPPLY,602,814,PIECES
HK25,GLASS WIPER,HK Cleaning SUPPLY,602,814,PIECES
HK26,FLOOR CLEANER ,HK Cleaning SUPPLY,602,814,LTR
HK27,MOP STICK ,HK Cleaning SUPPLY,602,814,PIECES
HK28,MOPSTICK REFILLS,HK Cleaning SUPPLY,602,814,PIECES
HK29,BUCKET ,HK Cleaning SUPPLY,602,814,PIECES
HK30,TOILET ROLLS ,HK Cleaning SUPPLY,602,814,PIECES
HK31,R 1 / FLOOR CLEANING,HK Cleaning SUPPLY,602,814,LTR
HK32,R2 / MULTIPURPOSE ,HK Cleaning SUPPLY,602,814,LTR
HK33,R3 / COLIN ,HK Cleaning SUPPLY,602,814,LTR
HK34,R4  / FURNITURE CLEANING,HK Cleaning SUPPLY,602,814,LTR
HK35,R5 / ROOM FRESHNER ,HK Cleaning SUPPLY,602,814,LTR
HK36,R6 / TOILET CLEANER ,HK Cleaning SUPPLY,602,814,LTR
HK39,DETERGENT CAKE,HK Cleaning SUPPLY,602,816,PIECES
HK40,CASTIC (KHARA),HK Cleaning SUPPLY,602,816,KG
HK41,POOL CLORINE,HK Cleaning SUPPLY,602,816,KG
GS1,COMB,HK Guest Supply,602,814,PIECES
GS2,TOOTHBRUSH KIT,HK Guest Supply,602,814,PIECES
GS3,SHAVING KIT,HK Guest Supply,602,814,PIECES
GS4,SHOWER CAP,HK Guest Supply,602,814,PIECES
GS5,SANITARY BAG,HK Guest Supply,602,814,PIECES
GS6,SHOESHINE,HK Guest Supply,602,814,PIECES
GS7,SEWING KIT ,HK Guest Supply,602,814,PIECES
GS8,BATH ROOM SLIPPERS ,HK Guest Supply,602,814,PIECES
GS9,GUEST HANDWASH LIQUID,HK Guest Supply,602,814,KG
GS10,Toilet  Roll (02 ply ),HK Guest Supply,602,814,BOX
GS14,SHAMPOO,HK Guest Supply,602,814,PIECES
GS15,SHOWER GEL,HK Guest Supply,602,814,PIECES
GS16,CONDITIONER,HK Guest Supply,602,814,PIECES
GS17,TALC,HK Guest Supply,602,814,PIECES
GS18,MOISTURISER,HK Guest Supply,602,814,PIECES
GS19,DAIRY WHITNER,HK Guest Supply,602,816,PIECES 
GS20,SUGAR SACHETS,HK Guest Supply,602,816,BOX 
GS21,COFFEE SACHETS,HK Guest Supply,602,816,BOX
GS22,TEA BAGS,HK Guest Supply,602,816,BOX
GS23,SUGAR FREE NAT 100TB,HK Guest Supply,602,816,BOX
LN1,FACE TOWELS,LINEN,602,817,PC
LN2,HAND TOWELS,LINEN,602,817,PC
LN3,BODY TOWELS,LINEN,602,817,PC
LN4,BATH MATS,LINEN,602,817,PC
LN5,ROOM BUCKET,LINEN,602,817,PC
LN6,ROOM BUCKET MUG,LINEN,602,817,PC
LN7,LININ BASKET,LINEN,602,817,PC
LN8,CUSHION COVERS,LINEN,602,817,PC
LN9,MEDIUM PILLOW,LINEN,602,817,PC
LN10,LARGE PILLOW ,LINEN,602,817,PC
LN11,PILLOW COVERS  M,LINEN,602,817,PC
LN12,PILLOW COVERS L ,LINEN,602,817,PC
LN13,CUSHION FILLERS ,LINEN,602,817,PC
LN14,BED SHEET SINGLE ,LINEN,602,817,PC
LN15,BED SHEET DOUBLE ,LINEN,602,817,PC
LN16,DUVET SINGLE ,LINEN,602,817,PC
LN17,DUVET DOUBLE ,LINEN,602,817,PC
LN18,DUVET COVER DOUBLE,LINEN,602,817,PC
LN19,DUVET COVER SINGLE ,LINEN,602,817,PC
LN20,POOL TOWELS ,LINEN,602,817,PC
KG1,AATTA GENHU /WHEAT,GRAINS ,818,817,KG
KG2,MAIDA ,GRAINS ,818,813,KG
KG3,GUEST RICE  (IG DUBAR ),GRAINS ,818,813,KG
KG4,SUGAR ,GRAINS ,818,813,KG
KG5,SALT,GRAINS ,818,813,KG
KG6,BESAN,GRAINS ,818,813,KG
KG7,SOOJI,GRAINS ,818,813,KG
KG8,POHA,GRAINS ,818,813,KG
KG9,AARAROT/CORNFLOUR ,GRAINS ,818,813,KG
KP1,URAD MAAH   WHOLE,PULSES ,818,813,KG
KP2,MOONG WHOLE /SABAT,PULSES ,818,813,KG
KP3,MOONG  SPLIT/ TUTI ,PULSES ,818,813,KG
KP4,MOONG  DHULI,PULSES ,818,813,KG
KP5,CHANA KABULI ,PULSES ,818,813,KG
KP6,CHANA BLACK /KALA ,PULSES ,818,813,KG
KP7,CHANAL DAL SPLIT/ TUTI,PULSES ,818,813,KG
KP8,ARHAR DAL,PULSES ,818,813,KG
KP9,URAD  TUTI CHILKA ,PULSES ,818,813,KG
KP10,URAD DHULI,PULSES ,818,813,KG
KP11,RAJMAH CHITRA,PULSES ,818,813,KG
KP12,MOONGPHALI KACCCHI,PULSES ,818,813,KG
KO1,Refind Sunflower Oil ,Oils,818,813,LTR
KO2,SARSON TAIL /MUSTARD OIL,Oils,818,813,LTR
KO3,GHEE ,Oils,818,813,LTR
KO4,OLIVE OIL,Oils,818,813,LTR
KM1,JEERA /CUMIN ,Masala ,818,813,KG
KM2,HALDI /TURMERIC ,Masala ,818,813,KG
KM3,LAL MIRCHI SABAT /RED CHILLY Whole ,Masala ,818,813,KG
KM4,KASHMIRI MIRCH,Masala ,818,813,KG
KM5,DHANIA SABAT /CORIANDER WHOLE,Masala ,818,813,KG
KM6,KALI MIRCH SABAT /BLACK PEPPER WHOLE,Masala ,818,813,KG
KM7,MOTI ILAYACHI  /CARDAMOM BLACK,Masala ,818,813,KG
KM8,HARI ILAYACHI /GREEN CARDAMON ,Masala ,818,813,KG
KM9,LAUNG /CLOVE ,Masala ,818,813,KG
KM10,AJWAIN /CAROM SEED,Masala ,818,813,KG
KM11,GARAM MASALA WHOLE ,Masala ,818,813,KG
KM12,KASOORI METHI ,Masala ,818,813,KG
KM13,DALCHINI /CINNAMON,Masala ,818,813,KG
KM14,METHI DANA /FENUGREEK ,Masala ,818,813,KG
KM15,IMLI  /TAMRIND  DRY,Masala ,818,813,KG
KM16,ANARDANA (POMEGRANATE DRY ),Masala ,818,813,KG
KM17,SAUNTH /GINGER DRY ,Masala ,818,813,KG
KM18,KALAUNJI /BLACK CUMIN ,Masala ,818,813,KG
KM19,JAIPHAL /NUTMEG ,Masala ,818,813,KG
KM20,AMCHOOR  /DRY MANGO ,Masala ,818,813,KG
KM21,SABJA /BASIL SEED ,Masala ,818,813,KG
KM22,TEJ PATTA/ BAY LEAF ,Masala ,818,813,KG
KM23,SAUNTH (dry Ginger),Masala ,818,813,KG
KM24,CHAKRI PHOOL /Star Aniseed,Masala ,818,813,KG
KM25,Javitri ,Masala ,818,813,KG
KM26,HING /ASAFITIDA,Masala ,818,813,KG
KM27,KALA NAMAK/BLACK SALT,Masala ,818,813,KG
KM28,CHAT MASALA ,Masala ,818,813,KG
KM29,SENDHA NAMAK,Masala ,818,813,KG
KM30,SAUNF Moti/FENNEL SEED,Masala ,818,813,KG
KM31,SAUNF  BARIK /FENNEL SEED ,Masala ,818,813,KG
KM32,SARSOON DANA/MUSTARD SEED,Masala ,818,813,KG
KM33,RAI DANA/BROWN MUSTARAD,Masala ,818,813,KG
KM34,KHUS KHUS /POPPY SEEDS ,Masala ,818,813,KG
KM35,KESAR /SAFFRON ,Masala ,818,813,KG
KBF1,TEA LEAVES REGULAR ,BF Essentials,818,813,KG
KBF2,Coffee ,BF Essentials,818,813,KG
KBF3,MUSELI ,BF Essentials,818,813,KG
KBF4,CORNFLAKES,BF Essentials,818,813,KG
KBF5,CHOCOS,BF Essentials,818,813,KG
KBF6,KISSAN MIX JAM ,BF Essentials,818,813,KG
KBF7,BUTTER CHIPLETS ,BF Essentials,818,813,box 
KBF8,VEEBA EGGLESS MAYONISE ,BF Essentials,818,813,KG
KBF9,BOURNVITA,BF Essentials,818,813,box
KBF10,HOT CHOCOLATE ,BF Essentials,818,813,box
KBF11,VERMICILI PLAIN WHITE ,BF Essentials,818,813,KG
KBF12,VERMICILI ROASTED BROWN  ,BF Essentials,818,813,KG
KBF13,COCONUT DRY POWDER,BF Essentials,818,813,KG
KBF14,GIRI GOLA /COCONUT WHOLE DRY,BF Essentials,818,813,PIECES 
KBF15,ROASTED CHANA,BF Essentials,818,813,KG
KBF16,TIL /SESSME SEED WHITE ,BF Essentials,818,813,KG
KBF17,JAGGERRY,BF Essentials,818,813,KG
KC1,PASTA( FUSSILLI),Continental,818,813,KG
KC2,PASTA ( PENNE),Continental,818,813,KG
KC3,PASTA (FLAT) FETTUCNNI),Continental,818,813,KG
KC4,PASTA (MACRONNI),Continental,818,813,KG
KC5,SPAGHATTI,Continental,818,813,KG
KC6,HAKKA NOODLES ,Continental,818,813,KG
KC7,SOYA SAUCE,Continental,818,813,LTR
KC8,VINEGAR ,Continental,818,813,LTR
KC9,GREEN CHILLI SAUCE,Continental,818,813,LTR
KC10,TOBASCO SAUCE,Continental,818,813,LTR
KC11,SCHEZWAN SAUCE ,Continental,818,813,LTR
KC12,MUSTARD SAUCE ,Continental,818,813,KG
KC13,AJEENO MOTO,Continental,818,813,KG
KC14,AGAR AGAR,Continental,818,813,KG
KC15,AMUL CHEESE BLENDS 1KG,Continental,818,813,KG
KC16,BAKED BEANS,Continental,818,813,KG
KC17,FRENCH FRY,Continental,818,813,KG
KC18,SWEETCORN FROZEN,Continental,818,813,KG
KC19,EGGS,Continental,818,819,PIECES
KC20,BAKING POWDER,Bakery ,818,813,KG
KC21,BAKING SODA,Bakery ,818,813,KG
KC22,YEAST DRY,Bakery ,818,813,KG
KC23,YEAST WET,Bakery ,818,813,KG
,CUSTARD POWDER(VANILLA),Desserts ,818,813,KG
KFZ1,RICH CREAM ,Desserts ,818,813,KG
KFZ2,CASHEW NUT TUKRI,Desserts Toppings,818,813,KG
KFZ3,ALMONDS,Desserts Toppings,818,813,KG
KFZ4,WALNUTS,Desserts Toppings,818,813,KG
KFZ5,RASINS,Desserts Toppings,818,813,KG
KFZ6,CHIRONJI ,Desserts Toppings,818,813,KG
KFZ7,MAGAJ ,Desserts Toppings,818,813,KG
KFZ8,GREEN OLIVES,Tinned  items,818,813,KG
KFZ9,BLACK OLIVES,Tinned  items,818,813,KG
KFZ10,TOMATO PUREE,Tinned  items,818,813,LTR
KFZ11,PINEAPPLE TINNED,Tinned  items,818,813,KG
KFZ12,RED CHERRY TINNED,Tinned  items,818,813,KG
KFZ13,MILKMAID TINNED,Tinned  items,818,813,KG
KFZ14,TINNED INDIAN SWEETS GULABJAMUN,Tinned  items,818,813,KG
KFZ15,CHEESE SLICE,Dairy ,818,813,KG
KFZ16,MILK,Dairy ,818,819,KG
KFZ17,CURD,Dairy ,818,819,KG
KFZ18,PANEER,Dairy ,818,819,KG
KFZ19,BREADS ,Dairy ,818,819,Pack
KFZ20,ICE CREAM,Dairy ,818,812,KG
KFZ21,SAUSAGE ,poultry,818,812,KG
KFZ22,SALAMI,poultry,818,812,KG
KFZ23,FRESH MUTTON,poultry,818,812,KG
KFZ24,FRESH CHICKEN,poultry,818,812,KG
KFZ25,FRESH FISH,poultry,818,812,KG
KFZ26,FRESH KEEMA,poultry,818,812,KG
KFZ27,PRAWNS,poultry,818,812,KG
FC1,TANDOOR COAL,fuel,818,813,KG
FC2,GAS CYLINDER,fuel,818,813,PIECES
FC3,DIESEL ,fuel,818,813,LTR
FC4,WOOD (firewood),fuel,818,813,KG
RS1,MAKHANA 250GM,Snacks,818,813,KG
RS2,PARLE CHEESLING 300G,Snacks,818,813,KG
RS3,ROASTED PEANUTS ,Snacks,818,813,KG
RS4,TEA  BISCUITS SALTED ,Snacks,818,813,KG
RS5,TEA BISCUITS SWEET,Snacks,818,813,KG
RS6,PAPAD URD DAL MASALA,Snacks,818,813,KG
RS7,PAPAD PLAIN (SMALL DIA ),Snacks,818,813,KG
RS8,MATHRI,Snacks,818,813,KG
RS9,NIMKI ,Snacks,818,813,KG
kv0,GREEN PEAS,vegetable,818,813,KG
KV1,AALO/POTATO ,vegetables,818,812,KG
KV2,PYAJ /ONION,vegetables,818,812,KG
KV3,LEHSUN,vegetables,818,812,KG
KV4,TAMATAR /TOMATO,vegetables,818,812,KG
KV5,ADRAK,vegetables,818,812,KG
KV6,MIRCH HARI,vegetables,818,812,KG
KV7,MOTI MIRCH,vegetables,818,812,KG
KV8,DHANIYA HARA/CILANTRO,vegetables,818,812,KG
KV9,FRENCH BEANS,vegetables,818,812,KG
KV10,SHIMLA MIRCHI /CAPSICUM,vegetables,818,812,KG
KV11,GHIYA /SWEET GOURD,vegetables,818,812,KG
KV12,GAJAR,vegetables,818,812,KG
KV13,PALAK LEAVES,vegetables,818,812,KG
KV14,BAIGAN BHARTA /BRINJAL,vegetables,818,812,KG
KV15,BAIGAN SMALL /BRINJAL,vegetables,818,812,KG
KV16,KHEERA /CUCUMBER,vegetables,818,812,KG
KV17,KADDU YELLOW /PUMPKIN,vegetables,818,812,KG
KV18,BHINDI /LADY FINGER ,vegetables,818,812,KG
KV19,GOBHI,vegetables,818,812,KG
KV20,PATTA GOBHI,vegetables,818,812,KG
