TBS,TOMATO BASIL SOUP,SOUP,VEGETARIAN,bowl,portion,360,10,1
VS,VEGETABLE SOUP,SOUP,VEGETARIAN,bowl,portion,360,10,1
CCS,CICKEN CLEAR SOUP,SOUP,VEGETARIAN,bowl,portion,440,10,1
TS,TOMATO SHORBA,SOUP,VEGETARIAN,bowl,portion,360,10,1
DKS,DAL KA SHORBA ,SOUP,VEGETARIAN,bowl,portion,360,10,1
MBS,MURG BADAMI SHORBA,SOUP,NON VEGETARIAN,bowl,portion,440,10,1
VP,VEGETABLE PAKODA,STARTERS,VEGETARIAN,Plate,pcs,350,10,8
AT,ALOO TIKKI,STARTERS,VEGETARIAN,Plate,pcs,350,10,8
BM,BHARMA MIRCH ,STARTERS,VEGETARIAN,Plate,pcs,350,10,10
GK,GAULAOTI KEBAB,STARTERS,VEGETARIAN,Plate,pcs,450,10,8
PMS,PAPAD MANGO SALSA,STARTERS,VEGETARIAN,Plate,pcs,350,10,2
MDS,MAKKI KE DOKLE WITH SAJIYA,STARTERS,VEGETARIAN,Plate,pcs,450,10,2
CK,CORN KEBAB,STARTERS,VEGETARIAN,Plate,pcs,350,10,8
LF,LIVER FRY,STARTERS,NON VEGETARIAN,Plate,pcs,650,10,12
MKS,MAANS KE SULE ,STARTERS,NON VEGETARIAN,Plate,pcs,650,10,8
CT,CHICKEN TIKKA,STARTERS,NON VEGETARIAN,Plate,pcs,550,10,8
CBD,CHICKEN BHUJMA (DRY),STARTERS,NON VEGETARIAN,Plate,pcs,550,10,5
CSM,CHICKEN SOYETA MATHRI,STARTERS,NON VEGETARIAN,Plate,pcs,550,10,8
MT,MACHHI KI TIKKI,STARTERS,NON VEGETARIAN,Plate,pcs,550,10,8
DT,DAL TADKA,MAIN COURSE,VEGETARIAN,Plate,portion,500,10,1
DM,DAL MAKHANI,MAIN COURSE,VEGETARIAN,Plate,portion,550,10,1
AGM,ADRAKI GOBI MATAR,MAIN COURSE,VEGETARIAN,Plate,Plate,500,10,1
BB,BAIGAN KA BHARTA,MAIN COURSE,VEGETARIAN,Plate,Plate,500,10,1
PC,PALAK CORN ,MAIN COURSE,VEGETARIAN,Plate,Plate,500,10,1
PM,PANEER MAKHANI,MAIN COURSE,VEGETARIAN,Plate,gram,650,10,100
MP,MATAR PANEER,MAIN COURSE,VEGETARIAN,Plate,gram,650,10,100
PTM,PANEER TIKKA MASALA,MAIN COURSE,VEGETARIAN,Plate,gram,650,10,100
MM,MATAR MUSHROOM,MAIN COURSE,VEGETARIAN,Plate,gram,650,10,50
JA,JEERA ALOO,MAIN COURSE,VEGETARIAN,Plate,Plate,450,10,1
AC,ALOO CAPSICUM,MAIN COURSE,VEGETARIAN,Plate,Plate,500,10,1
DM,DHUNGAR MURG,MAIN COURSE,NON VEGETARIAN,Plate, pcs,800,10,5
DMM,DHUNGAR MAANS,MAIN COURSE,NON VEGETARIAN,Plate, pcs,900,10,5
EC,EGG CURRY,MAIN COURSE,NON VEGETARIAN,Plate, eggs,500,10,2
JM,JAISAMANDI MANCHI,MAIN COURSE,NON VEGETARIAN,Plate, pcs,700,10,5
TRB,TANDOORI ROTI/ BUTTER,INDIAN BREADS,NON VEGETARIAN, pcs, pcs,55,10,1
PBR,PLAIN/ BUTTER ROTI,INDIAN BREADS,NON VEGETARIAN, pcs, pcs,95,10,1
GNCN,GARLIC NAAN/ CHEESE NAAN,INDIAN BREADS,NON VEGETARIAN, pcs, pcs,110,10,1
KP,KADHI PAKODA ,FROM THE HOUSE OF KALADWAS ,VEGETARIAN,Plate, Plate,750,10,1
DB,DAL BANJARA,FROM THE HOUSE OF KALADWAS ,VEGETARIAN,Plate, Plate,750,10,1
SG,SAFED GOBI,FROM THE HOUSE OF KALADWAS ,VEGETARIAN,Plate, Plate,750,10,1
KBM,KURKURI BHINDI MASALA,FROM THE HOUSE OF KALADWAS ,VEGETARIAN,Plate, Plate,750,10,1
MRLS,MAKKI KI ROTI AUR LILVE KA SAAG,FROM THE HOUSE OF KALADWAS ,VEGETARIAN,Plate, Plate,650,10,1
SM,SAFED MURG,FROM THE HOUSE OF KALADWAS ,NON VEGETARIAN,Plate, pcs,800,10,5
CBG,CHICKEN BHUJMA (GRAVY),FROM THE HOUSE OF KALADWAS ,NON VEGETARIAN,Plate, pcs,650,10,5
s,KEEMA THOTHADI,FROM THE HOUSE OF KALADWAS ,NON VEGETARIAN,Plate,gram,1200,10,250
LM,LAAL MAANS ,FROM THE HOUSE OF KALADWAS ,NON VEGETARIAN,Plate, pcs,900,10,5
