Item Code,Item,Item Type,Item Group Main,Item Group,Item Main Unit,Item Alt Unit,Purchase Account Local,Purchase Account Interstate,Store,Conversion Qty,Min Qty,Max Qty,Rol,Roq,Item Class,Open Qty,Open Amount,Last Purchase Rate,Stock Enable Disable,Edit Name Enable Disable,Item Production Item,Item Allowed Additional,Item Disable,Purchase Rate,Batch Details,Item Details,Display Order,Status,Creation Date,Modified Date,Created By,Modified By
1,Six Fields Beer,Ingredients,Alcohol,Alcohol,Kegg,Kegg,,,KITCHEN,1,0,0,0,0,A,0,0,0,Inactive,Inactive,Inactive,Inactive,Inactive,0,Inactive,Active,0,Active,24-02-2022 04:29,24-02-2022 04:29,Supervisor,Supervisor
2,Okasmith Whisky,Ingredients,Alcohol,Alcohol,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
3,M.M Vodkaa,Ingredients,Alcohol,Alcohol,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
4,Sula Sauv.Blanc,Ingredients,Alcohol,Alcohol,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
5,Budweiser Beer,Ingredients,Alcohol,Alcohol,Kegg,Kegg,,,,1,6,,,,,,,,,,,,,,,,,,,,,
6,Avocado,Ingredients,Beverage,Beverage,can,can,,,,1,,,,,,,,,,,,,,,,,,,,,,
7,Mango Juice,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
8,Orange Juice,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
9,Apple Juice,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
10,Soda,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
11,Mix Juice,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
12,Coke,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
13,Sprite,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
14,D.Coke,Ingredients,Beverage,Beverage,Can,Can,,,,1,,,,,,,,,,,,,,,,,,,,,,
15,Red Bull,Ingredients,Beverage,Beverage,Can,Can,,,,1,,,,,,,,,,,,,,,,,,,,,,
16,Monin Amretto Syrup700ml,Ingredients,Beverage,Beverage,bottle,bottle,,,,1,,,,,,,,,,,,,,,,,,,,,,
17,Green Tea,Ingredients,Beverage,Beverage,pkt,pkt,,,,1,,,,,,,,,,,,,,,,,,,,,,
18,H M 1000ml Water bottle,Ingredients,Beverage,Beverage,case,case,,,,1,,,,,,,,,,,,,,,,,,,,,,
19,20 Ltr Water,Ingredients,Beverage,Beverage,Can,Can,,,,1,,,,,,,,,,,,,,,,,,,,,,
20,Chicken Thigh,Ingredients,Butchery,Butchery,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
21,Chicken Foot,Ingredients,Butchery,Butchery,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
22,Chicken Bone,Ingredients,Butchery,Butchery,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
23,Chicken Hip,Ingredients,Butchery,Butchery,kg,Gram,,,,1,,,,,,,,,,,,,,,,,,,,,,
